序號,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限_速度(公里),道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別,縣市別代碼,機關代碼,市話,傳真
1,2023,02,1,0,20,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",23,"   ",1,22,"  ",B03,120.656302,24.169777,3,66000,387130000C,(04)23289100,(04)25368667
2,2023,02,1,0,23,臺中市,北區,0,3,0,8,3,5,50,4,1,1,5,4,5,7,2,1,1,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,2,"  ",6,6,1,21,6,B03,120.668095,24.162861,2,66000,387130000C,(04)23289100,(04)25368667
3,2023,02,1,0,27,臺中市,北區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,17,6,3,10,1,1,B01,7,9,1,4,2,15,"  ",6,6,1,22,9,B01,120.688986,24.158995,2,66000,387130000C,(04)23289100,(04)25368667
4,2023,02,1,2,10,臺中市,大甲區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,22,"  ",B03,120.625044,24.404023,3,66000,387130000C,(04)23289100,(04)25368667
5,2023,02,1,2,43,臺中市,西屯區,0,2,0,8,3,5,1,4,1,1,5,4,5,7,1,1,1,4,5,2,16,25,2,9,1,1,F01,7,9,8,20,2,16,"  ",25,25,1,22,8,F01,120.649796,24.162755,2,66000,387130000C,(04)23289100,(04)25368667
6,2023,02,1,2,45,臺中市,沙鹿區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",6,"  ","  ",23,"   ",1,4,"  ",B03,120.573954,24.209066,3,66000,387130000C,(04)23289100,(04)25368667
7,2023,02,1,5,47,臺中市,北屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,42,"  ","  ","  ","  ",B03,"  ",9,1,8,1,5,"  ",42,42,1,21,8,B03,120.687566,24.171933,3,66000,387130000C,(04)23289100,(04)25368667
8,2023,02,1,5,50,臺中市,北區,0,3,0,8,2,5,50,4,1,1,5,4,5,7,3,1,5,5,5,2,16,6,2,9,1,1,C03,7,9,1,10,2,11,"  ",6,6,1,21,8,C03,120.689402,24.160208,2,66000,387130000C,(04)23289100,(04)25368667
9,2023,02,1,6,5,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",11,"  ","  ",16,"   ",1,22,"  ",B03,120.691041,24.158738,3,66000,387130000C,(04)23289100,(04)25368667
10,2023,02,1,6,35,臺中市,豐原區,1,0,0,8,1,5,50,3,1,1,5,4,5,7,2,1,10,5,5,1,16,8,3,10,1,1,B03,7,9,3,18,2,14,"  ",23,8,1,21,8,B03,120.750259,24.269162,1,66000,387130000C,(04)23289100,(04)25368667
