序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分(類別),車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,0,18,臺中市,中區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,13,7,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,C03,120.678612,24.143256,2
2,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,0,26,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,8,,,,,C03,,,1,,2,,,8,,1,13,4,C03,120.676711,24.150642,3
3,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,0,56,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,27,49,,,,,B02,,,1,,2,,,49,,1,6,4,B02,120.721744,24.154998,3
4,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,1,30,臺中市,梧棲區,0,0,0,7,,,30,,,,,,,,,,,,,,,84,,,,,B03,,,1,,2,,,84,84,1,6,4,B03,120.534472,24.263,3
5,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,1,53,臺中市,西屯區,0,0,0,7,3,5,30,14,9,1,5,4,5,7,4,4,10,5,5,2,17,43,3,10,1,1,C03,7,9,3,8,10,14,,43,43,1,12,4,C03,120.614213,24.165561,3
6,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,2,14,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,8,,,,,B03,,,1,,1,,,8,,1,13,4,B03,120.628307,24.140207,3
7,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,2,26,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,13,84,,,,,B12,,,1,,1,,,84,,1,13,4,B12,120.680781,24.201271,3
8,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,2,41,臺中市,豐原區,0,0,0,8,,,40,,,,,,,,,,,,,,,58,,,,,B03,,,1,,2,,,58,,1,13,5,B03,120.731849,24.242251,3
9,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,4,31,臺中市,梧棲區,0,1,0,7,1,6,60,13,9,1,5,4,6,6,4,4,1,4,5,1,20,59,2,9,3,1,B01,7,9,1,4,2,5,,59,59,1,12,4,B01,120.526262,24.226324,2
10,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,4,45,臺中市,清水區,0,0,0,7,,,50,,,,,,,,,,,,,,17,45,,,,,B03,,,3,,9,,,45,45,2,13,4,B03,120.571132,24.259066,3
11,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,5,21,臺中市,霧峰區,0,1,0,7,3,6,40,13,9,1,5,4,6,6,4,4,5,5,5,1,20,84,2,9,2,1,C03,7,9,1,10,8,11,,84,84,1,10,4,C03,120.690289,24.047122,2
12,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,5,43,臺中市,潭子區,0,0,0,7,,,50,,,,,,,,,,,,,,,11,,,,,B03,,,1,,2,,,11,,1,12,4,B03,120.678321,24.215714,3
13,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,6,27,臺中市,西屯區,0,1,0,7,2,6,60,13,7,1,5,4,6,6,4,4,1,4,5,2,23,55,2,9,3,1,B03,7,9,1,8,2,1,,55,55,1,13,4,B03,120.636056,24.184583,2
14,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,6,33,臺中市,北屯區,0,2,0,7,2,6,50,4,2,1,5,4,6,6,3,1,5,2,5,2,17,11,2,9,1,1,C03,7,6,1,10,2,12,,11,11,1,12,4,C03,120.71499,24.173578,2
15,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,6,41,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,14,,1,13,4,B03,120.655471,24.197625,3
16,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,7,10,臺中市,南屯區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,9,5,5,2,12,8,3,10,5,4,A31,7,9,1,1,9,2,,8,8,1,12,4,A31,120.603027,24.159499,2
