受傷數量,天候,光線,駕駛執照種類,飲酒情形,車輛撞擊部位最初
1,1,0,0,0.0,2.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,1.0
1,0,0,1,0.0,1.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,2.0
1,1,0,0,0.0,2.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,1.0
1,1,0,1,0.0,2.0
1,0,0,1,0.0,3.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,1.0
1,1,0,1,0.0,2.0
1,0,0,1,0.0,1.0
1,1,0,1,0.0,1.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,1.0
1,1,0,1,0.0,2.0
1,1,0,0,0.0,2.0
1,0,1,1,0.0,1.0
1,1,0,1,0.0,1.0
1,1,0,1,0.0,2.0
1,1,1,1,0.0,3.0
1,1,0,1,0.0,1.0
1,0,0,0,0.0,2.0
1,1,0,1,0.0,1.0
1,0,1,1,0.0,1.0
1,1,1,0,0.0,2.0
1,1,1,1,0.0,2.0
1,0,1,1,0.0,2.0
1,0,1,1,0.0,2.0
1,1,1,1,0.0,1.0
1,0,1,1,0.0,1.0
1,0,1,1,0.0,2.0
1,0,1,1,0.0,2.0
1,0,1,1,0.0,3.0
1,1,1,1,0.0,2.0
1,1,1,0,0.0,2.0
1,0,1,1,0.0,2.0
1,0,1,1,0.0,2.0
1,0,1,1,0.0,2.0
1,1,1,1,0.0,2.0
1,1,1,1,0.0,2.0
1,1,1,1,0.0,1.0
0,1,1,1,0.0,1.0
1,1,1,1,0.0,2.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,2.0
0,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,2.0
1,1,1,1,0.0,2.0
1,1,1,1,0.0,2.0
1,1,1,1,0.0,3.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,2.0
0,1,1,1,0.0,1.0
1,1,1,0,0.0,1.0
0,1,1,1,0.0,2.0
1,1,1,1,0.0,3.0
1,1,1,1,0.0,3.0
1,1,1,1,0.0,1.0
0,0,1,1,0.0,1.0
1,1,1,1,0.0,2.0
1,1,1,1,0.0,3.0
1,1,1,1,0.0,1.0
0,1,1,1,1.0,1.0
1,1,1,1,0.0,1.0
0,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,2.0
1,1,1,1,0.0,2.0
1,1,1,1,0.0,2.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,2.0
1,1,1,1,2.0,2.0
1,1,1,1,0.0,2.0
1,1,1,1,0.0,2.0
1,1,1,1,0.0,1.0
1,1,0,1,0.0,1.0
1,1,1,1,0.0,1.0
1,1,1,1,0.0,1.0
1,1,0,1,0.0,1.0
1,1,0,1,0.0,1.0
1,1,0,1,0.0,1.0
1,1,0,1,0.0,1.0
0,1,0,1,0.0,1.0
1,1,1,1,0.0,1.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,1.0
0,1,0,1,1.0,1.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,1.0
0,1,0,1,0.0,1.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,1.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,1.0
1,1,1,1,0.0,3.0
1,1,0,1,0.0,1.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,2.0
1,1,0,1,0.0,2.0
